Individual{TOC=14290.590063117419, NV=32}
Individual{TOC=12133.046468818977, NV=52}
Individual{TOC=14921.60214504276, NV=31}
Individual{TOC=12592.373392088786, NV=39}
Individual{TOC=13391.818747811343, NV=38}
Individual{TOC=13832.804889351457, NV=36}
Individual{TOC=14073.868178244527, NV=33}
Individual{TOC=13977.825899102929, NV=34}
Individual{TOC=13837.203700171758, NV=35}
Individual{TOC=12357.876031060874, NV=44}
Individual{TOC=12317.51135492414, NV=49}
Individual{TOC=12395.682012019482, NV=43}
Individual{TOC=12520.44375166041, NV=41}
Individual{TOC=12570.79895227727, NV=40}
Individual{TOC=13723.081452907289, NV=37}
runTime = 2037358.309558ms
