Individual{TOC=18807.33247666702, NV=51}
Individual{TOC=19219.524417041812, NV=41}
Individual{TOC=19113.273932819415, NV=44}
Individual{TOC=20774.24804437416, NV=33}
Individual{TOC=20257.956363351128, NV=37}
Individual{TOC=19939.30657016479, NV=38}
Individual{TOC=18861.846488842555, NV=47}
Individual{TOC=19582.497486219498, NV=40}
Individual{TOC=19755.029556243586, NV=39}
Individual{TOC=20348.74270888274, NV=36}
Individual{TOC=18850.899427084732, NV=49}
Individual{TOC=20450.359963540355, NV=34}
Individual{TOC=21073.00743679237, NV=32}
runTime = 1789075.974406ms
