Individual{TOC=20242.148497143557, NV=49}
Individual{TOC=20441.902857506415, NV=46}
Individual{TOC=20705.269435260892, NV=44}
Individual{TOC=17522.96047572996, NV=58}
Individual{TOC=18805.14761037482, NV=53}
Individual{TOC=18448.876814986517, NV=54}
Individual{TOC=18186.271390460075, NV=55}
Individual{TOC=15905.783347478868, NV=80}
Individual{TOC=16218.73636599837, NV=72}
Individual{TOC=16276.31405062681, NV=70}
Individual{TOC=24110.62566194413, NV=32}
Individual{TOC=19148.56831394185, NV=50}
Individual{TOC=17102.588349669768, NV=59}
Individual{TOC=15957.470043757943, NV=74}
Individual{TOC=20622.310198243526, NV=45}
Individual{TOC=18093.088520004716, NV=56}
Individual{TOC=21781.923123191467, NV=39}
Individual{TOC=22656.94180508894, NV=34}
Individual{TOC=23611.53774204147, NV=33}
Individual{TOC=16314.220351489339, NV=64}
Individual{TOC=24576.907649077606, NV=31}
Individual{TOC=22199.918604123213, NV=36}
Individual{TOC=21519.226494760045, NV=41}
runTime = 1338120.250708ms
