Individual{TOC=15852.066346711956, NV=37}
Individual{TOC=14432.043107424224, NV=40}
Individual{TOC=15764.851012558263, NV=38}
Individual{TOC=16587.61761167146, NV=36}
Individual{TOC=13804.478298824057, NV=47}
Individual{TOC=13267.274514411765, NV=56}
Individual{TOC=13447.596669720831, NV=53}
Individual{TOC=13976.253243183945, NV=43}
Individual{TOC=13593.759708454565, NV=48}
Individual{TOC=13810.919644912477, NV=46}
Individual{TOC=13817.241371110631, NV=45}
Individual{TOC=14185.585262704153, NV=41}
runTime = 1114011.161983ms
